total_bill,tip,sex,smoker,day,time,size,name,Invoice Date
31.27,5,Male,No,Sat,Dinner,3,Nicola-Yarred,09-Dec-10
16.04,2.24,Male,No,Sat,Dinner,3,Ahlin,08-Oct-12
17.46,2.54,Male,No,Sun,Dinner,2,Turpin,02-May-12
13.94,3.06,Male,No,Sun,Dinner,2,Kraeff,08-Mar-10
9.68,1.32,Male,No,Sun,Dinner,2,Laroche,28-May-11
30.4,5.6,Male,No,Sun,Dinner,4,Devaney,19-Sep-10
18.29,3,Male,No,Sun,Dinner,2,Rogers,31-Aug-11
22.23,5,Male,No,Sun,Dinner,2,Lennon,31-Aug-11
32.4,6,Male,No,Sun,Dinner,4,O'Driscoll,31-Aug-11
28.55,2.05,Male,No,Sun,Dinner,3,Samaan,31-Aug-11
18.04,3,Male,No,Sun,Dinner,2,Arnold-Franchi,08-Jul-11
12.54,2.5,Male,No,Sun,Dinner,2,Panula,30-Jan-09
10.29,2.6,Female,No,Sun,Dinner,2,Nosworthy,08-Jan-12
34.81,5.2,Female,No,Sun,Dinner,4,Harper,07-Nov-10
9.94,1.56,Male,No,Sun,Dinner,2,Faunthorpe,29-Apr-10
25.56,4.34,Male,No,Sun,Dinner,4,Ostby,31-Dec-11
19.49,3.51,Male,No,Sun,Dinner,2,Woolner,12-Aug-09
38.01,3,Male,Yes,Sat,Dinner,4,Rugg,12-Aug-09
26.41,1.5,Female,No,Sat,Dinner,2,Novel,12-Nov-11
11.24,1.76,Male,Yes,Sat,Dinner,2,West,12-Nov-11
48.27,6.73,Male,No,Sat,Dinner,4,Goodwin,20-Jan-12
20.29,3.21,Male,Yes,Sat,Dinner,2,Sirayanian,20-Mar-09
13.81,2,Male,Yes,Sat,Dinner,2,Icard,21-Jul-12
11.02,1.98,Male,Yes,Sat,Dinner,2,Harris,21-Jul-12
18.29,3.76,Male,Yes,Sat,Dinner,4,Skoog,12-Jun-12
17.59,2.64,Male,No,Sat,Dinner,3,Stewart,15-Jan-09
20.08,3.15,Male,No,Sat,Dinner,3,Moubarek,15-Jan-09
16.45,2.47,Female,No,Sat,Dinner,2,Nye,04-Jun-10
3.07,1,Female,Yes,Sat,Dinner,1,Crease,18-Feb-10
20.23,2.01,Male,No,Sat,Dinner,2,Andersson,16-Nov-11
15.01,2.09,Male,Yes,Sat,Dinner,2,Kink,16-Nov-11
12.02,1.97,Male,No,Sat,Dinner,2,Jenkin,16-Nov-11
17.07,3,Female,No,Sat,Dinner,3,Goodwin,07-Aug-11
26.86,3.14,Female,Yes,Sat,Dinner,2,Hood,08-Jun-10
25.28,5,Female,Yes,Sat,Dinner,2,Chronopoulos,17-Oct-09
14.73,2.2,Female,No,Sat,Dinner,2,Bing,28-Aug-11
10.51,1.25,Male,No,Sat,Dinner,2,Moen,29-Sep-11
17.92,3.08,Male,Yes,Sat,Dinner,2,Staneff,29-Sep-11
27.2,4,Male,No,Thur,Lunch,4,Moutal,04-May-12
22.76,3,Male,No,Thur,Lunch,2,Caldwell,17-May-11
17.29,2.71,Male,No,Thur,Lunch,2,Dowdell,17-May-11
19.44,3,Male,Yes,Thur,Lunch,2,Waelens,17-May-11
16.66,3.4,Male,No,Thur,Lunch,2,Sheerlinck,17-May-11
10.07,1.83,Female,No,Thur,Lunch,1,McDermott,17-May-11
32.68,5,Male,Yes,Thur,Lunch,2,Carrau,17-Nov-09
15.98,2.03,Male,No,Thur,Lunch,2,Ilett,10-Oct-11
34.83,5.17,Female,No,Thur,Lunch,4,Backstrom,07-Oct-12
13.03,2,Male,No,Thur,Lunch,2,Ford,07-Oct-12
18.28,4,Male,No,Thur,Lunch,2,Slocovski,07-Oct-12
24.71,5.85,Male,No,Thur,Lunch,2,Fortune,13-Aug-11
21.16,3,Male,No,Thur,Lunch,2,Celotti,16-Aug-11
28.97,3,Male,Yes,Fri,Dinner,2,Christmann,16-Aug-11
22.49,3.5,Male,No,Fri,Dinner,2,Andreasson,16-Aug-11
5.75,1,Female,Yes,Fri,Dinner,2,Chaffee,04-Mar-09
16.32,4.3,Female,Yes,Fri,Dinner,2,Dean,18-Aug-09
22.75,3.25,Female,No,Fri,Dinner,2,Coxon,16-Nov-10
40.17,4.73,Male,Yes,Fri,Dinner,4,Shorney,27-May-11
27.28,4,Male,Yes,Fri,Dinner,2,Goldschmidt,27-May-11
12.03,1.5,Male,Yes,Fri,Dinner,2,Greenfield,23-Aug-10
21.01,3,Male,Yes,Fri,Dinner,2,Doling,19-Aug-11
12.46,1.5,Male,No,Fri,Dinner,2,Kantor,03-Jan-12
11.35,2.5,Female,Yes,Fri,Dinner,2,Petranec,29-Nov-12
15.38,3,Female,Yes,Fri,Dinner,2,Petroff,17-Mar-12
44.3,2.5,Female,Yes,Sat,Dinner,3,White,12-Apr-10
22.42,3.48,Female,Yes,Sat,Dinner,2,Johansson,24-Aug-10
20.92,4.08,Female,No,Sat,Dinner,2,Gustafsson,04-Jul-11
15.36,1.64,Male,Yes,Sat,Dinner,2,Mionoff,10-Nov-10
20.49,4.06,Male,Yes,Sat,Dinner,2,Salkjelsvik,24-Jun-10
25.21,4.29,Male,Yes,Sat,Dinner,2,Moss,24-Jun-10
18.24,3.76,Male,No,Sat,Dinner,2,Rekic,19-Sep-12
14.31,4,Female,Yes,Sat,Dinner,2,Moran,19-Sep-12
14,3,Male,No,Sat,Dinner,2,Porter,24-Dec-11
7.25,1,Female,No,Sat,Dinner,1,Zabour,23-Mar-12
38.07,4,Male,No,Sun,Dinner,3,Barton,15-Oct-11
23.95,2.55,Male,No,Sun,Dinner,2,Jussila,07-Aug-10
25.71,4,Female,No,Sun,Dinner,3,Attalah,03-Mar-09
17.31,3.5,Female,No,Sun,Dinner,2,Pekoniemi,09-Feb-10
29.93,5.07,Male,No,Sun,Dinner,4,Connors,09-Feb-10
10.65,1.5,Female,No,Thur,Lunch,2,Turpin,17-Jan-09
12.43,1.8,Female,No,Thur,Lunch,2,Baxter,17-Jan-09
24.08,2.92,Female,No,Thur,Lunch,4,Andersson,30-Aug-10
11.69,2.31,Male,No,Thur,Lunch,2,Hickman,30-Aug-10
13.42,1.68,Female,No,Thur,Lunch,2,Moore,11-Sep-09
14.26,2.5,Male,No,Thur,Lunch,2,Nasser,11-Sep-09
15.95,2,Male,No,Thur,Lunch,2,Webber,16-Jul-09
12.48,2.52,Female,No,Thur,Lunch,2,White,15-Nov-12
29.8,4.2,Female,No,Thur,Lunch,6,Nicola-Yarred,10-Sep-11
8.52,1.48,Male,No,Thur,Lunch,2,McMahon,10-Apr-11
14.52,2,Female,No,Thur,Lunch,2,Madsen,10-Apr-11
11.38,2,Female,No,Thur,Lunch,2,Peter,10-Apr-11
22.82,2.18,Male,No,Thur,Lunch,3,Ekstrom,09-Oct-11
19.08,1.5,Male,No,Thur,Lunch,2,Drazenoic,09-Oct-11
20.27,2.83,Female,No,Thur,Lunch,2,Coelho,23-Oct-12
11.17,1.5,Female,No,Thur,Lunch,2,Robins,08-Jan-12
12.26,2,Female,No,Thur,Lunch,2,Weisz,25-Jan-10
18.26,3.25,Female,No,Thur,Lunch,2,Sobey,25-Jan-10
8.51,1.25,Female,No,Thur,Lunch,2,Richard,27-Jan-11
10.33,2,Female,No,Thur,Lunch,2,Newsom,27-Jan-11
14.15,2,Female,No,Thur,Lunch,2,Futrelle,27-Jan-11
16,2,Male,Yes,Thur,Lunch,2,Osen,27-Aug-09
13.16,2.75,Female,No,Thur,Lunch,2,Giglio,17-Mar-11
17.47,3.5,Female,No,Thur,Lunch,2,Boulos,17-Mar-11
34.3,6.7,Male,No,Thur,Lunch,6,Nysten,06-Jun-12
41.19,5,Male,No,Thur,Lunch,5,Hakkarainen,11-Apr-11
27.05,5,Female,No,Thur,Lunch,6,Burke,11-Apr-11
16.43,2.3,Female,No,Thur,Lunch,2,Andrew,11-Apr-11
8.35,1.5,Female,No,Thur,Lunch,2,Nicholls,06-Nov-12
18.64,1.36,Female,No,Thur,Lunch,3,Andersson,06-Nov-12
11.87,1.63,Female,No,Thur,Lunch,2,Ford,16-May-12
9.78,1.73,Male,No,Thur,Lunch,2,Navratil,09-Apr-12
7.51,2,Male,No,Thur,Lunch,2,Byles,09-Apr-12
14.07,2.5,Male,No,Sun,Dinner,2,Bateman,05-Aug-12
13.13,2,Male,No,Sun,Dinner,2,Pears,22-Jul-09
17.26,2.74,Male,No,Sun,Dinner,3,Meo,09-May-10
24.55,2,Male,No,Sun,Dinner,4,van Billiard,09-May-10
19.77,2,Male,No,Sun,Dinner,4,Olsen,18-Feb-09
29.85,5.14,Female,No,Sun,Dinner,5,Williams,18-Feb-09
48.17,5,Male,No,Sun,Dinner,6,Gilnagh,27-Jun-12
25,3.75,Female,No,Sun,Dinner,4,Corn,27-Jun-12
13.39,2.61,Female,No,Sun,Dinner,2,Smiljanic,27-Jun-12
16.49,2,Male,No,Sun,Dinner,4,Sage,30-Sep-10
21.5,3.5,Male,No,Sun,Dinner,4,Cribb,15-Apr-10
12.66,2.5,Male,No,Sun,Dinner,2,Watt,15-Apr-10
16.21,2,Female,No,Sun,Dinner,3,Bengtsson,14-Sep-11
13.81,2,Male,No,Sun,Dinner,2,Calic,21-Sep-10
17.51,3,Female,Yes,Sun,Dinner,2,Panula,17-Aug-10
24.52,3.48,Male,No,Sun,Dinner,3,Goldsmith,16-Sep-09
20.76,2.24,Male,No,Sun,Dinner,2,Chibnall,22-Jun-09
31.71,4.5,Male,No,Sun,Dinner,4,Skoog,28-Aug-12
10.59,1.61,Female,Yes,Sat,Dinner,2,Baumann,07-Jun-11
10.63,2,Female,Yes,Sat,Dinner,2,Ling,07-Jun-11
50.81,10,Male,Yes,Sat,Dinner,3,Van der hoef,07-Jun-11
15.81,3.16,Male,Yes,Sat,Dinner,2,Rice,09-Oct-09
7.25,5.15,Male,Yes,Sun,Dinner,2,Johnson,09-Oct-09
31.85,3.18,Male,Yes,Sun,Dinner,2,Sivola,09-Oct-09
16.82,4,Male,Yes,Sun,Dinner,2,Smith,05-Dec-10
32.9,3.11,Male,Yes,Sun,Dinner,2,Klasen,07-Jun-09
17.89,2,Male,Yes,Sun,Dinner,2,Lefebre,27-Jul-09
14.48,2,Male,Yes,Sun,Dinner,2,Isham,05-Sep-11
9.6,4,Female,Yes,Sun,Dinner,2,Hale,11-Jan-09
34.63,3.55,Male,Yes,Sun,Dinner,2,Leonard,15-Aug-10
34.65,3.68,Male,Yes,Sun,Dinner,4,Sage,15-Aug-10
23.33,5.65,Male,Yes,Sun,Dinner,2,Pernot,05-Aug-09
45.35,3.5,Male,Yes,Sun,Dinner,3,Asplund,17-Sep-11
23.17,6.5,Male,Yes,Sun,Dinner,4,Becker,22-Oct-11
40.55,3,Male,Yes,Sun,Dinner,2,Kink-Heilmann,14-Nov-09
20.69,5,Male,No,Sun,Dinner,5,Rood,14-Nov-09
20.9,3.5,Female,Yes,Sun,Dinner,3,O'Brien,03-Jul-10
30.46,2,Male,Yes,Sun,Dinner,5,Romaine,03-Jul-10
18.15,3.5,Female,Yes,Sun,Dinner,3,Bourke,30-Jan-09
23.1,4,Male,Yes,Sun,Dinner,3,Turcin,15-Mar-12
15.69,1.5,Male,Yes,Sun,Dinner,2,Pinsky,10-Aug-09
19.81,4.19,Female,Yes,Thur,Lunch,2,Carbines,01-Apr-10
28.44,2.56,Male,Yes,Thur,Lunch,2,Andersen-Jensen,01-Apr-10
15.48,2.02,Male,Yes,Thur,Lunch,2,Navratil,31-Jul-10
16.58,4,Male,Yes,Thur,Lunch,2,Brown,29-May-09
7.56,1.44,Male,No,Thur,Lunch,2,Lurette,11-Oct-10
10.34,2,Male,Yes,Thur,Lunch,2,Mernagh,18-May-10
43.11,5,Female,Yes,Thur,Lunch,4,Olsen,08-Feb-11
13,2,Female,Yes,Thur,Lunch,2,Madigan,07-Dec-10
13.51,2,Male,Yes,Thur,Lunch,2,Yrois,07-Dec-10
18.71,4,Male,Yes,Thur,Lunch,3,Vande Walle,06-Jan-09
12.74,2.01,Female,Yes,Thur,Lunch,2,Sage,12-Mar-12
13,2,Female,Yes,Thur,Lunch,2,Johanson,26-Aug-10
16.4,2.5,Female,Yes,Thur,Lunch,2,Youseff,26-Aug-10
20.53,4,Male,Yes,Thur,Lunch,4,Cohen,26-Aug-10
16.47,3.23,Female,Yes,Thur,Lunch,3,Strom,20-Jun-11
26.59,3.41,Male,Yes,Sat,Dinner,3,Backstrom,04-Aug-10
38.73,3,Male,Yes,Sat,Dinner,4,Albimona,04-Aug-10
24.27,2.03,Male,Yes,Sat,Dinner,2,Carr,04-Aug-10
12.76,2.23,Female,Yes,Sat,Dinner,2,Blank,23-Nov-10
30.06,2,Male,Yes,Sat,Dinner,3,Ali,23-Nov-10
25.89,5.16,Male,Yes,Sat,Dinner,4,Cameron,02-Aug-09
48.33,9,Male,No,Sat,Dinner,4,Perkin,10-Aug-11
13.27,2.5,Female,Yes,Sat,Dinner,2,Givard,10-Aug-11
28.17,6.5,Female,Yes,Sat,Dinner,3,Kiernan,06-May-10
12.9,1.1,Female,Yes,Sat,Dinner,2,Newell,28-Jun-12
28.15,3,Male,Yes,Sat,Dinner,5,Honkanen,28-Jun-12
11.59,1.5,Male,Yes,Sat,Dinner,2,Jacobsohn,23-Mar-11
7.74,1.44,Male,Yes,Sat,Dinner,2,Bazzani,19-Nov-11
30.14,3.09,Female,Yes,Sat,Dinner,4,Harris,26-Nov-12
12.16,2.2,Male,Yes,Fri,Lunch,2,Sunderland,29-Jul-10
13.42,3.48,Female,Yes,Fri,Lunch,2,Bracken,29-Jul-10
8.58,1.92,Male,Yes,Fri,Lunch,1,Green,12-May-12
15.98,3,Female,No,Fri,Lunch,3,Nenkoff,03-Mar-12
13.42,1.58,Male,Yes,Fri,Lunch,2,Hoyt,03-Mar-12
16.27,2.5,Female,Yes,Fri,Lunch,2,Berglund,20-Aug-10
10.09,2,Female,Yes,Fri,Lunch,2,Mellors,27-Jun-10
20.45,3,Male,No,Sat,Dinner,4,Lovell,27-Jun-10
13.28,2.72,Male,No,Sat,Dinner,2,Fahlstrom,29-Oct-12
22.12,2.88,Female,Yes,Sat,Dinner,2,Lefebre,16-Jan-10
24.01,2,Male,Yes,Sat,Dinner,4,Harris,29-Jun-12
15.69,3,Male,Yes,Sat,Dinner,3,Larsson,08-Aug-11
11.61,3.39,Male,No,Sat,Dinner,2,Sjostedt,08-Aug-11
10.77,1.47,Male,No,Sat,Dinner,2,Asplund,21-Feb-10
15.53,3,Male,Yes,Sat,Dinner,2,Leyson,20-Jun-11
10.07,1.25,Male,No,Sat,Dinner,2,Harknett,04-Sep-09
12.6,1,Male,Yes,Sat,Dinner,2,Hold,04-Sep-09
32.83,1.17,Male,Yes,Sat,Dinner,2,Collyer,04-Sep-09
35.83,4.67,Female,No,Sat,Dinner,3,Pengelly,04-Sep-09
29.03,5.92,Male,No,Sat,Dinner,3,Hunt,21-Jun-09
27.18,2,Female,Yes,Sat,Dinner,2,Zabour,08-Feb-12
22.67,2,Male,Yes,Sat,Dinner,2,Murphy,11-Mar-09
17.82,1.75,Male,No,Sat,Dinner,2,Coleridge,11-Mar-09
18.78,3,Female,No,Thur,Dinner,2,Maenpaa,11-Mar-09
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
